children__name,children__children__name,children__children__value,children__children__pct_sw,children__children__pct_robot,children__children__pct_ai,children__children__pct_sw_g,children__children__pct_robot_g,children__children__pct_ai_g,children__children__coloring,children__colname,name
,Philosophy and religion teachers postsecondary    ,30900,1,3,1,very low,very low,very low,very low,,
,Prosthodontists    ,600,84,62,54,very high,medium to high,medium to high,medium to high,,
,Rehabilitation counselors    ,120200,17,9,40,low,very low,low to medium,low to medium,,
,Recreation and fitness studies teachers postsecondary    ,19100,1,3,1,very low,very low,very low,very low,,
,Sociologists    ,3200,59,41,87,medium to high,low to medium,very high,very high,,
,Anthropology and archeology teachers postsecondary    ,7200,1,3,1,very low,very low,very low,very low,,
,Podiatrists    ,10500,1,4,26,very low,very low,low,low,,
,Biological science teachers postsecondary    ,64699.996,1,3,1,very low,very low,very low,very low,,
,Economics teachers postsecondary    ,16800,1,3,1,very low,very low,very low,very low,,
,Orthodontists    ,7200,84,62,54,very high,medium to high,medium to high,medium to high,,
,Agricultural sciences teachers postsecondary    ,11400,1,3,1,very low,very low,very low,very low,,
High school diploma or equivalent,Patternmakers metal and plastic    ,3100,90,67,75,very high,high,high,high,level2,
,Production workers all other,238600,88,89,64,very high,very high,medium to high,medium to high,,
,Plumbers pipefitters and steamfitters    ,490200,74,83,43,high,high,low to medium,low to medium,,
,Coin vending and amusement machine servicers and repairers    ,37000,91,84,57,very high,very high,medium to high,medium to high,,
,First-line supervisors of production and operating workers    ,648900,56,38,96,medium to high,low to medium,very high,very high,,
,Glaziers    ,52800,91,81,85,very high,high,very high,very high,,
,Timing device assemblers and adjusters,1300,,,,,,,,,
,First-line supervisors of transportation and material-moving workers except aircraft cargo handling supervisors,456700,,,,,,,,,
,Plating machine setters operators and tenders metal and plastic    ,42100,96,96,84,very high,very high,very high,very high,,
,Engine and other machine assemblers    ,45900,72,72,55,high,high,medium to high,medium to high,,
,Hearing aid specialists    ,8100.0005,39,52,42,low to medium,medium to high,low to medium,low to medium,,
,Automotive glass installers and repairers    ,24300,17,69,21,low,high,low,low,,
,Flight attendants    ,121900,7,75,7,very low,high,very low,very low,,
,Detectives and criminal investigators    ,113500,63,38,77,medium to high,low to medium,high,high,,
,Office and administrative support workers all other    ,220800,,,,,,,,,
,Structural iron and steel workers    ,77000,71,96,34,high,very high,low to medium,low to medium,,
,Water and wastewater treatment plant and system operators    ,126400,100,69,100,very high,high,very high,very high,,
,Paving surfacing and tamping equipment operators    ,46600,99,96,81,very high,very high,high,high,,
,Stationary engineers and boiler operators    ,34400,63,59,75,medium to high,medium to high,high,high,,
,Rolling machine setters operators and tenders metal and plastic    ,32599.998,82,65,85,high,medium to high,very high,very high,,
,First-line supervisors of housekeeping and janitorial workers    ,231900,37,26,76,low to medium,low,high,high,,
,Lathe and turning machine tool setters operators and tenders metal and plastic    ,28200,18,59,34,low,medium to high,low to medium,low to medium,,
,Paper goods machine setters operators and tenders    ,100400,75,67,77,high,high,high,high,,
,Electrical electronic and electromechanical assemblers except coil winders tapers and finishers,291700,72,72,55,high,high,medium to high,medium to high,,
,Photographic process workers and processing machine operators    ,12300,74,62,89,high,medium to high,very high,very high,,
,Transit and railroad police    ,4500,63,38,77,medium to high,low to medium,high,high,,
,Mail clerks and mail machine operators except postal service    ,88400,79,79,92,high,high,very high,very high,,
,Earth drillers except oil and gas; and explosives workers ordnance handling experts and blasters,25300,,,,,,,,,
,Interviewers except eligibility and loan    ,201900,7,6,14,very low,very low,very low,very low,,
,Community health workers    ,64900,5,9,21,very low,very low,low,low,,
,Pile driver operators    ,3600,99,100,83,very high,very high,high,high,,
,Automotive body and related repairers    ,155500,17,69,21,low,high,low,low,,
,Postal service clerks    ,78100,21,64,3,low,medium to high,very low,very low,,
,Excavating and loading machine and dragline operators surface mining,46100,75,80,82,high,high,high,high,,
,Loan interviewers and clerks    ,212600,38,10,42,low to medium,very low,low to medium,low to medium,,
,Electrical power-line installers and repairers    ,115000,67,75,44,high,high,low to medium,low to medium,,
,Postal service mail sorters processors and processing machine operators    ,98500,21,64,3,low,medium to high,very low,very low,,
